8eab7626-d463-43a3-a337-83e333b17600_Basecall_Barcoding_2d	550
a63dbfd3-210c-48f3-bde2-990aa0c7ebaa_Basecall_Barcoding_2d	10353
0b42f539-9b75-4db6-a0b7-6af47663245e_Basecall_Barcoding_2d	5960
a67bc1b3-566a-424c-a249-6f33b20a717e_Basecall_Barcoding_2d	9132
ec5c5ec5-2bae-47bb-b1d9-6d74b8879be9_Basecall_Barcoding_2d	8613
5fffa1a2-eea8-44d1-ade5-b34f86265402_Basecall_Barcoding_2d	6722
6953a934-be73-43bc-81ca-b225c59f7749_Basecall_Barcoding_2d	7330
ddbd92f8-046c-42f7-9e20-cdc6f5535f55_Basecall_Barcoding_2d	9446
c202d5e3-eaa6-409d-bf0d-8fccd5facbb7_Basecall_Barcoding_2d	7312
11f54141-1452-4972-aff5-32fcfd018c2b_Basecall_Barcoding_2d	4943
e702af90-cb2e-4ce0-a25e-eee20fc34d74_Basecall_Barcoding_2d	5408
7553213a-d45c-4e27-9213-047b39294444_Basecall_Barcoding_2d	9117
e0fc893b-ee44-491a-b150-25ca2638af5a_Basecall_Barcoding_2d	14787
990f214f-cf82-4428-bd35-fee2125ddbc9_Basecall_Barcoding_2d	12462
c6e309ef-906b-4626-8e7a-aa8f4a957901_Basecall_Barcoding_2d	8699
e47f43c1-9403-4377-9a05-ddaceb975eea_Basecall_Barcoding_2d	12613
6ec88841-5816-4c71-af75-41165c091ab5_Basecall_Barcoding_2d	7415
8d199f8d-fb8f-43dd-b163-eef902c0dc45_Basecall_Barcoding_2d	5481
844c3684-9c45-4505-bd37-2694c33c10db_Basecall_Barcoding_2d	10376
1f430d52-972c-4a5a-8beb-09c035ec001c_Basecall_Barcoding_2d	10617
434a39d5-2b65-45d6-a878-6c2e3e274ac8_Basecall_Barcoding_2d	5470
08e8d134-073f-429c-ae22-f452e4488a8d_Basecall_Barcoding_2d	12654
54799008-3281-481b-b61d-75186b604fbe_Basecall_Barcoding_2d	7537
76fc6eaf-94fa-476b-a1eb-b8227611d812_Basecall_Barcoding_2d	7351
204ce7ec-214a-47b9-9cc4-b73b03c05d81_Basecall_Barcoding_2d	327
531f2c6f-3d3c-4f7c-bc46-6f594b10c87a_Basecall_Barcoding_2d	7579
bf483b5f-c4f3-4504-a181-d0b2c0702488_Basecall_Barcoding_2d	520
f8686fbf-8cbd-4f9f-8289-d576d4cc45f1_Basecall_Barcoding_2d	9919
36ed59ce-1134-4e13-b0df-36cbc8ca0b42_Basecall_Barcoding_2d	10746
88e413b8-73f5-4b13-b040-4e41a353506c_Basecall_Barcoding_2d	11353
00fc9750-b5b3-475f-8bbf-a7418f9f1de3_Basecall_Barcoding_2d	5738
da0133dc-4daa-42f0-9205-fa2d47e1ea9a_Basecall_Barcoding_2d	14949
d06f57b0-031c-4cac-831c-e97afb363492_Basecall_Barcoding_2d	7170
196d4aea-bcf3-4eba-bb05-bb02e1b88637_Basecall_Barcoding_2d	23211
e23226fd-e81c-46b5-a388-50f5cbfa2b59_Basecall_Barcoding_2d	11997
92ed18c0-01ca-434d-8c93-0605861e5990_Basecall_Barcoding_2d	8444
977d889b-f5ef-47fa-8f8c-1a667c1a5123_Basecall_Barcoding_2d	7749
915893fc-3558-407c-97bf-2bb9dfb18fb8_Basecall_Barcoding_2d	11002
92819c2a-b8d3-414c-adf5-9c6e749cab34_Basecall_Barcoding_2d	3788
7324eaff-9207-4c0e-b64b-4c1c9b63bac2_Basecall_Barcoding_2d	7224
be353ced-97e2-48b8-b7c7-ae807713c16b_Basecall_Barcoding_2d	9509
426a9489-299e-4a1c-8904-e25478e87b8c_Basecall_Barcoding_2d	12687
99ef56d5-8fdb-4e48-9205-f53cc441b9e0_Basecall_Barcoding_2d	7849
f0aa181b-7da2-4d0f-8248-859b84c1104e_Basecall_Barcoding_2d	11294
53dcda9f-d346-426f-ad85-7356ceb8d097_Basecall_Barcoding_2d	10465
a55acfe9-efad-4785-b8e3-e7513b909e46_Basecall_Barcoding_2d	6209
7ea45f59-ed1b-4c99-8959-4039c5378d11_Basecall_Barcoding_2d	5695
861f2931-4d50-4515-bbe4-a3bef8e3785f_Basecall_Barcoding_2d	6899
a98e6f3d-e83b-4268-8b40-3b9b96adfd36_Basecall_Barcoding_2d	8218
34bd6fe2-8359-49af-bed0-2e99844cb321_Basecall_Barcoding_2d	6401
40859a3b-cab7-473c-8d67-cd9fa7f935e6_Basecall_Barcoding_2d	13119
8f49a750-b260-484f-bc75-b6ca5126c939_Basecall_Barcoding_2d	7600
d016d9d7-043e-4803-a807-dd1f018af915_Basecall_Barcoding_2d	8483
2e134712-8d69-48cf-87aa-bafbb23d6efb_Basecall_Barcoding_2d	4799
e8e4c614-8c8c-4bda-9e0b-d4f1b70115c1_Basecall_Barcoding_2d	10048
3dbf00a5-d162-469f-887e-e7dd5a395d39_Basecall_Barcoding_2d	9381
06e2f450-c4b6-487e-a49d-b528821cf0d8_Basecall_Barcoding_2d	9473
bf993f24-8ada-4013-8aad-eca96823c967_Basecall_Barcoding_2d	1459
7e0e2e1f-166e-4c1d-908e-e0ea4072a1b2_Basecall_Barcoding_2d	8214
a2de41f0-38c2-473a-82ca-e46c27bf56c1_Basecall_Barcoding_2d	10233
ddcf7401-6685-4eaa-a9c1-3896bcede424_Basecall_Barcoding_2d	9381
1959ef55-9c8f-428b-b520-57d309056108_Basecall_Barcoding_2d	12039
